"","Gene","noIR1","noIR2","IR1","IR2"
"3345","ENSMUSG00000021902",194.11731026686,190.090141020386,161.835299990943,169.047510687919
"3346","ENSMUSG00000021903",0,0,2.47707091822872,0
"3347","ENSMUSG00000021904",15.48174867159,0,3.30276122430496,3.6950275560201
"3348","ENSMUSG00000021905",495.415957490881,380.180282040773,544.955602010318,557.949160959035
"3349","ENSMUSG00000021906",291.771417272274,285.678326219209,286.514536208455,332.552480041809
"3350","ENSMUSG00000021907",0,0,0.825690306076239,0
"3351","ENSMUSG00000021910",4031.20917333325,4059.23918281819,4203.58934823414,5016.92366418629
"3352","ENSMUSG00000021911",2029.29997972226,2233.28759964522,2178.9967177352,2371.2839340759
"3353","ENSMUSG00000021913",2.38180748793693,11.9485231498529,8.2569030607624,6.46629822303517
"3354","ENSMUSG00000021916",156.008390459869,158.589489079865,129.63337805397,181.056350244985
"3355","ENSMUSG00000021917",538.288492273746,474.682237862336,444.221384669017,507.142532063758
"3356","ENSMUSG00000021918",427.534444084679,521.390101084488,346.789928552021,599.518220964261
"3357","ENSMUSG00000021919",0,0,0,0
"3358","ENSMUSG00000021922",0,0,2.47707091822872,12.0088395570653
"3359","ENSMUSG00000021928",57.1633797104863,46.7078632221521,61.1010826496417,46.1878444502512
"3360","ENSMUSG00000021929",1888.77333793398,1807.48568375956,1991.56501825589,2267.82316250733
"3361","ENSMUSG00000021930",211.980866426387,184.65899413409,172.569273969934,205.99778624812
"3362","ENSMUSG00000021932",818.150872106335,717.997618368431,892.571220868415,1038.30274324165
"3363","ENSMUSG00000021933",2.38180748793693,0,1.65138061215248,0.923756889005024
"3364","ENSMUSG00000021936",410.86179166912,471.423549730558,600.276852517426,642.934794747497
"3365","ENSMUSG00000021938",2306.78055206691,2316.92726169419,2676.06228199309,2883.96900747369
"3366","ENSMUSG00000021939",1960.22756257209,2020.38664170239,1720.73859786288,2176.37123049584
"3367","ENSMUSG00000021940",0,0,0,0
"3368","ENSMUSG00000021943",0,0,0,0
"3369","ENSMUSG00000021944",0,0,0,0
"3370","ENSMUSG00000021945",1643.44716667648,1765.12273804644,1448.26079685772,1842.89499356502
"3371","ENSMUSG00000021947",2.38180748793693,6.5173762635561,4.95414183645744,4.61878444502512
"3372","ENSMUSG00000021948",1620.81999554108,1481.61687058175,4012.85488753052,3930.58556271638
"3373","ENSMUSG00000021950",0,0,0,0
"3374","ENSMUSG00000021951",45.2543422708016,15.2072112816309,56.1469408131843,13.8563533350754
"3375","ENSMUSG00000021952",2531.86135967695,2630.84755172215,3045.14584880917,3368.94137420132
"3376","ENSMUSG00000021953",0,0,0,0
"3377","ENSMUSG00000021957",7503.88449074529,7170.20011928897,7376.71719448512,8677.7722153132
"3378","ENSMUSG00000021958",753.842069932038,580.046487456493,532.570247419175,583.814353851175
"3379","ENSMUSG00000021959",789.569182251092,877.673336825555,894.222601480567,1153.77235436728
"3380","ENSMUSG00000021961",0,2.1724587545187,0,0
"3381","ENSMUSG00000021962",1461.23889384931,1629.34406588903,1641.47232847956,2037.80769714508
"3382","ENSMUSG00000021963",1945.93671764447,1830.29650068201,1906.51891673004,1983.30604069379
"3383","ENSMUSG00000021965",933.668535271276,853.77629052585,698.533998940499,836.923741438552
"3384","ENSMUSG00000021966",3.57271123190539,0,11.5596642850674,11.0850826680603
